Year  Mo   SST    Wind 
1948   1   0.66  -0.76
1948   2   0.00   5.78
1948   3   1.00  -1.47
1948   4   1.86   4.74
1948   5   1.30   4.81
1948   6   2.51   4.34
1948   7   1.63   3.92
1948   8   0.55   2.60
1948   9  -0.48   1.46
1948  10  -0.24   2.11
1948  11   0.72   2.60
1948  12  -0.93  -3.45
1949   1  -0.20  13.12
1949   2  -0.47   2.11
1949   3  -1.13  -0.90
1949   4  -1.22  -0.93
1949   5  -1.88   0.25
1949   6  -1.55   0.60
1949   7  -0.19   3.92
1949   8   0.77   5.47
1949   9   0.89   3.13
1949  10   0.80   0.20
1949  11   0.16  -0.97
1949  12   0.46   1.61
1950   1   0.53   1.10
1950   2  -1.07  -5.12
1950   3  -1.26  -0.42
1950   4   0.72   1.67
1950   5   1.05   4.21
1950   6   0.28   3.42
1950   7   0.21   4.66
1950   8   1.21   5.41
1950   9   1.26   2.94
1950  10   1.27   3.97
1950  11   1.87   6.58
1950  12   3.03   7.76
1951   1   2.14   4.26
1951   2   0.94  -0.65
1951   3   2.29  16.96
1951   4   3.63   9.25
1951   5   3.70   1.43
1951   6   3.85   7.70
1951   7   2.87   1.61
1951   8   0.98  -1.28
1951   9  -0.04   1.17
1951  10  -0.97   1.28
1951  11  -1.19  -6.91
1951  12  -2.02  -7.62
1952   1  -2.89  -5.04
1952   2  -1.44   8.27
1952   3   0.92  11.47
1952   4   1.13  -4.69
1952   5   2.09   9.05
1952   6   3.27   4.45
1952   7   2.36   4.57
1952   8   2.04   3.90
1952   9   2.24   3.78
1952  10   2.08   1.34
1952  11   2.25   5.38
1952  12   3.63  13.04
1953   1   3.16  12.38
1953   2   2.80  -1.58
1953   3   1.32   1.32
1953   4   2.12   9.31
1953   5   2.34   4.83
1953   6   1.45  -0.16
1953   7   1.45   3.02
1953   8   1.52   2.90
1953   9   1.52  -2.22
1953  10   0.35  -3.06
1953  11   0.69  -1.43
1953  12   0.82  -3.30
1954   1   0.97  -1.50
1954   2   0.82  -5.75
1954   3  -0.17  -4.11
1954   4  -0.44   1.49
1954   5   1.68  10.14
1954   6   1.20   1.12
1954   7   0.39   3.45
1954   8  -0.86   4.31
1954   9  -1.25  -1.50
1954  10  -1.69   1.03
1954  11  -1.60  -3.53
1954  12  -1.07  -1.78
1955   1   0.63  15.82
1955   2   1.62  10.41
1955   3   1.03   6.49
1955   4   1.95   2.54
1955   5   1.61   3.54
1955   6   2.14   4.00
1955   7   2.70   3.53
1955   8   3.05   6.11
1955   9   2.93   4.21
1955  10   3.55   5.13
1955  11   4.25   9.18
1955  12   4.57   5.49
1956   1   4.38  13.75
1956   2   3.56   9.34
1956   3   2.50  -4.33
1956   4   2.02   2.90
1956   5   0.16  -4.14
1956   6  -1.40  -3.70
1956   7  -0.47   0.75
1956   8  -0.25   0.33
1956   9  -0.67   0.38
1956  10   0.05   4.13
1956  11   0.39   4.55
1956  12   0.74  -5.46
1957   1  -1.03  -6.06
1957   2  -2.24  -2.62
1957   3  -1.54  10.60
1957   4  -2.32  -4.72
1957   5  -1.40   2.83
1957   6  -0.44   3.29
1957   7   0.05   0.88
1957   8   1.00  -0.50
1957   9   1.34   2.74
1957  10   1.62   3.30
1957  11   0.56   2.04
1957  12   0.10  -6.49
1958   1   1.41  14.05
1958   2   4.02  15.95
1958   3   7.13  14.77
1958   4   8.23   3.00
1958   5   7.87   6.18
1958   6   7.32   6.90
1958   7   5.03   2.51
1958   8   3.87   4.65
1958   9   3.66  -0.55
1958  10   1.95   0.95
1958  11   1.51  -2.22
1958  12   1.03  -2.42
1959   1   1.87   5.94
1959   2   1.81  -4.84
1959   3  -0.37  -9.32
1959   4  -1.04  -2.93
1959   5  -0.81   0.44
1959   6  -0.87  -3.47
1959   7  -0.34  -0.32
1959   8  -0.45   1.32
1959   9  -0.24   1.79
1959  10  -0.71  -1.65
1959  11  -0.74  -2.89
1959  12  -0.86  -4.70
1960   1   0.26   6.86
1960   2   1.65  16.07
1960   3   1.44  -2.59
1960   4   2.00  -1.16
1960   5   2.44   1.68
1960   6   2.54   0.56
1960   7   1.65  -0.65
1960   8   1.08   2.08
1960   9   0.52  -0.13
1960  10   0.17   3.05
1960  11   0.25  -0.10
1960  12  -0.29  -2.67
1961   1  -0.16  -7.33
1961   2  -0.33  -2.17
1961   3   0.41   3.64
1961   4   1.79  -1.01
1961   5   2.11  -1.13
1961   6   0.74  -4.39
1961   7   1.15   3.01
1961   8   1.27   2.59
1961   9   0.18   1.41
1961  10  -0.54  -3.02
1961  11  -0.21   7.23
1961  12   1.51   7.26
1962   1   1.96  -8.66
1962   2   1.96   1.10
1962   3   3.26  13.92
1962   4   3.15  -2.99
1962   5   2.82   3.48
1962   6   1.30  -0.63
1962   7   2.44   2.64
1962   8   1.56   1.89
1962   9   0.98  -0.19
1962  10   0.41   0.80
1962  11   1.42   5.84
1962  12   2.91  10.43
1963   1   3.15   7.22
1963   2   3.07  -0.21
1963   3   1.42  -2.35
1963   4   1.76   3.04
1963   5  -0.21  -5.39
1963   6  -1.12   1.26
1963   7  -1.14   3.46
1963   8  -2.04  -1.65
1963   9  -3.19  -2.54
1963  10  -2.34  -0.86
1963  11  -2.21   0.47
1963  12  -2.96  -7.93
1964   1  -1.59   4.41
1964   2   0.21   2.10
1964   3   0.74   2.81
1964   4   0.17  -6.27
1964   5   1.50  -0.52
1964   6   1.34  -1.25
1964   7   0.25  -2.69
1964   8   0.09   3.55
1964   9   0.34   1.55
1964  10   0.28  -1.82
1964  11   0.95   7.82
1964  12   1.08  11.88
1965   1  -0.62   0.18
1965   2  -1.26   9.54
1965   3  -1.02  -3.04
1965   4  -1.40  -4.83
1965   5  -1.84   0.06
1965   6  -2.26  -2.01
1965   7  -1.51  -2.86
1965   8  -2.35  -0.02
1965   9  -2.66  -0.30
1965  10  -2.64  -4.21
1965  11  -2.32  -0.56
1965  12  -1.35  -5.22
1966   1  -0.35   9.02
1966   2   2.12   4.19
1966   3   3.01   3.74
1966   4   3.30   1.16
1966   5   2.26  -3.97
1966   6   0.82   0.24
1966   7   0.39   0.46
1966   8   0.30   0.49
1966   9   0.45   0.82
1966  10   0.11   3.47
1966  11   0.33   4.46
1966  12   0.09   1.95
1967   1   0.84   4.08
1967   2   0.10  -9.95
1967   3   0.20  -3.77
1967   4   1.30   6.01
1967   5   0.84  -5.44
1967   6   0.01  -0.42
1967   7   0.43  -1.91
1967   8   0.08   2.37
1967   9   0.18   5.35
1967  10  -0.43   1.72
1967  11  -1.82  -4.22
1967  12  -2.17   7.48
1968   1  -0.99   4.72
1968   2   0.68   9.22
1968   3   0.67  -0.62
1968   4  -0.07   4.16
1968   5  -0.14  -3.19
1968   6  -1.45  -1.13
1968   7  -1.79   0.61
1968   8  -1.90  -2.22
1968   9  -1.62  -0.89
1968  10  -1.44  -0.68
1968  11  -1.13  -5.62
1968  12  -0.68  -1.18
1969   1   1.11  11.21
1969   2   2.86  18.35
1969   3   5.19  10.13
1969   4   3.83  -6.51
1969   5   3.17  -4.41
1969   6   1.89  -0.86
1969   7   1.61   1.36
1969   8   0.54   1.96
1969   9  -0.26  -0.98
1969  10  -0.52   4.42
1969  11   0.52   8.83
1969  12   1.88   3.93
1970   1   3.81  10.06
1970   2   4.20   4.88
1970   3   5.33  12.05
1970   4   4.12   3.95
